MIZORAM,MAMIT,No,8,2,38,24,Yes,No,Not provided,Not provided,Not provided,0,0,0,0,No,Not Responded,Not Responded,Not Responded,Not provided
MIZORAM,LUNGLEI,No,8,2,38,24,Yes,No,Not provided,Not provided,Not provided,0,0,0,0,No,Not Responded,Not Responded,Not Responded,Not provided
SIKKIM,,Yes,8,8,8,36,Yes,Yes,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,No,0,Not provided,Not provided,Not provided
TAMILNADU,CHENNAI ,No,174,150,335 throughout the state,1,Yes,Yes,0,1202,0,838,0,694,30,Yes,209,65,0,0
TELANGANA ,MAHABUBNAGAR ,Yes,19,18,Not provided,36,Yes,No,Not Responded,125,Not Responded,40,Not Responded,Not Responded,Not Responded,Yes,Not Responded,Not provided,Not provided,0
TELANGANA ,NALGONDA ,No,16,16,16,36,Yes,yes,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not provided,Not Responded,0,0
TELANGANA,ADILABAD,No,17,17,17,36,Yes,Not responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not Responded,Not Responded,Not Responded,Not provided
TELANGANA,KHAMMAM,No,14,14,14,36,Yes,No,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not Responded,Not Responded,Not Responded,0
TELANGANA ,KARIMNAGAR ,No,20,20,20,36,Yes,No,Not Responded,36,Not Responded,36,Not Responded,36,Not Responded,No,0,0,0,0
TELANGANA ,HYDERABAD,Not Responded,Not provided,Not provided,Not provided,Not Responded,Not responded,Not responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not provided
TELANGANA ,RANGA REDDY ,Yes,25,25,21,36,No,Yes,Maintained by the Police Stations,Not provided,Maintained by the Police stations,Not provided,Maintained by the Police stations,Not provided,Not Responded,Yes,1,Not provided,Not Responded,Not provided
TELANGANA ,NIZAMABAD,No,15,14,16,36,Yes,No,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not Responded,Not Responded,Not Responded,0
HARYANA ,JIND,No,5,5,50,Not Responded,Yes,Yes,0,12,0,0,0,0,0,Yes,Not Responded,Not Responded,0,0
HARYANA ,NARNAUL ,No,11,11,10,3,Yes,Yes,51,0,2,0,0,2,0,Yes,3,REPORTS FOR REMAND HOURS SUBMITTED BY EACH PANEL LAWYER TO THIS OFFICE ON MONTHLY BASIS ,0,0
HARYANA ,REWARI ,No,10,9,5,1,Yes,Yes,0,15,0,1,0,1,0,Yes,4,4,Not provided,Not provided
HARYANA ,YAMUNA NAGAR ,No,18,18,60,3,Yes,Yes,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not Responded,Yes,8,8,0,0
HARYANA ,JHAJJAR ,Yes,10,10,6,3,Yes,Not responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not Responded,Not Responded,Not Responded,0
HARYANA ,KARNAL ,No,14,14,6,3,Yes,Yes,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Yes,6,6,0,0
HARYANA,SONEPAT ,No,12,12,8,3,Yes,Yes,0,36,0,4,0,0,0,Yes,10,Not provided,0,0
HARYANA ,ROHTAK ,No,9,9,6,3,Yes,Yes,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,No,12,12,0,12
HARYANA ,BHIWANI,Yes,15,15,23,1,Yes,Yes,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,26,Not provided,0,0
WEST BENGAL ,PURULIA ,No,9,2,22,12,Yes,No,Not provided,115,Not provided,97,Not provided,97,0,Yes,4,4,0,0
WEST BENGAL ,KOLKATA ,Yes,22,Not provided,50,36,Yes,Yes,Not provided,539,Not provided,Not provided,Not provided,Not provided,Not provided,Yes,Not provided,2,Not provided,Not provided
WEST BENGAL ,BANKURA ,Yes,6,3,2,No fixed tenure,No,No,0,28,0,15,0,15,Not Responded,Yes,Not provided,2,0,0
WEST BENGAL ,"BIRBHUM, SURI",Yes,13,4,Not provided,36,Yes,No,0,37,0,6,0,6,Not provided,Yes,Not Responded,2,0,0
WEST BENGAL,DARJEELING ,Not provided,15,4,7,1,Yes,No,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not Responded,Not Responded,Not Responded,Not provided
WEST BENGAL ,COOCH BEHAR ,No,5,1,5,1,Yes,No,Not Responded,43,Not Responded,3,Not Responded,Not Responded,Not provided,Yes,5,5,3,2
KERALA ,IDUKKI ,Yes,10,10,9,1,No,Yes,0,154,0,31,0,24,Not Responded,Yes,Not Responded,Not Responded,0,2
KERALA,THIRUVANANTHAPURM,No,21,21,5,3,Yes,Yes,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,168,Not Responded,Not provided
KERALA ,PALAKKAD ,Yes,9,8,10,12,Yes,No,0,95,0,90,0,90,0,Not Responded,Not Responded,Not Responded,1,2
KERALA ,ALAPPUZHA ,Yes,13,10,0,1,No,No,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,no,Not Responded,Not Responded,Not Responded,Not provided
KERALA ,WAYANAD ,Not Responded,7,5,0,NIL,No,No,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not provided
KERALA ,MALAPPURAM ,Yes,13,13,0,Not provided,Not provided,Not provided,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not provided,0
ODISHA ,PURI,No,8,5,0,Not provided,No,No,Not Responded,Not provided,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not provided,0,Not provided,Not provided
ODISHA ,SAMBALPUR ,No,9,0,Not provided,Not provided,No,No,Not Responded,Not provided,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,No,Not provided,0,Not Responded,Not provided
